source,dbid,taxon,action,note
GENBANK,51339761,Carassius carassius,REMOVE,Paper states fish is a goldfish (C. auratus)
GENBANK,52221010,Carassius carassius,REMOVE,Paper states fish is a goldfish (C. auratus)
GENBANK,1197011479,Carassius carassius,REMOVE,No information that this is not a goldfish
GENBANK,1314948533,Ameiurus nebulosus,REMOVE,"This is a RefSeq of GenBank MF621731.1, record was removed at the submitters request because the source organism cannot be confirmed."
GENBANK,33317222,Carcharodon carcharias,REMOVE,Nested in a cluster of Cetorhinus maximus
GENBANK,460283151,Sparus aurata,REMOVE,Nested in a cluster of Trachurus trachurus
GENBANK,460283153,Sparus aurata,REMOVE,Nested in a cluster of Trachurus trachurus
GENBANK,1084353060,Pomatoschistus microps,REMOVE,Nested in a cluster of Gobius niger
GENBANK,1084353062,Pomatoschistus minutus,REMOVE,Nested in a cluster of Gobius niger
BOLD,FCFUK151-06.COI-5P,Pomatoschistus pictus,REMOVE,Nested in a cluster of Gobius niger
GENBANK,1040783067,Avocettina infans,REMOVE,Nested in a cluster of Notocanthus
GENBANK,257218531,Cichlasoma bimaculatum,REMOVE,Nested in a cluster of Labrus mixtus
BOLD,SFM033-13.COI-5P,Symphodus melops,REMOVE,Nested in a cluster of Centrolabrus exoletus
GENBANK,1013873805,Salmo trutta,REMOVE,Nested in a cluster of Salvelinus alpinus
BOLD,SFM042-13.COI-5P,Lipophrys pholis,REMOVE,Mixed with Parablennius gattorugine
BOLD,SFM043-13.COI-5P,Lipophrys pholis,REMOVE,Mixed with Parablennius gattorugine
BOLD,SCFAD315-09.COI-5P,Lipophrys pholis,REMOVE,Nested in a cluster of Leptoclinus maculatus
BOLD,SCFAD314-09.COI-5P,Lipophrys pholis,REMOVE,Nested in a cluster of Leptoclinus maculatus
BOLD,SCFAD316-09.COI-5P,Lipophrys pholis,REMOVE,Nested in a cluster of Leptoclinus maculatus
GENBANK,189165470,Sparus aurata,REMOVE,Nested in a cluster of Pagrus pagrus
GENBANK,189165468,Sparus aurata,REMOVE,Nested in a cluster of Pagrus pagrus
GENBANK,1084353050,Pagellus erythrinus,REMOVE,Nested in a cluster of Pagrus pagrus
GENBANK,1084353056,Pagellus erythrinus,REMOVE,Nested in a cluster of Pagrus pagrus
BOLD,IFCZE989-12.COI-5P,Blicca bjoerkna,REMOVE,Nested in a cluster of Abramis brama
GENBANK,321118183,Blicca bjoerkna,REMOVE,Nested in a cluster of Abramis brama
GENBANK,1015802877,Abramis brama,REMOVE,Nested in a cluster of Cottus
BOLD,SCFAD142-09.COI-5P,Cottunculus microps,REMOVE,Nested in a cluster of Artediellus atlanticus
BOLD,SCFAD141-09.COI-5P,Cottunculus microps,REMOVE,Nested in a cluster of Artediellus atlanticus
GENBANK,395629540,Lampanyctus intricarius,REMOVE,Nested in a cluster of Lampanyctus macdonaldi
BOLD,UKFBI504-08.COI-5P,Ceratoscopelus warmingii,REMOVE,Nested in a cluster of Ceratoscopelus maderensis
GENBANK,874474386,Pleuronectes platessa,REMOVE,Nested in Ictaluridae
GENBANK,868612181,Ameiurus nebulosus,REMOVE,Nested in a cluster of Ameiurus melas
GENBANK,868611607,Ameiurus nebulosus,REMOVE,Nested in a cluster of Ameiurus melas
BOLD,BIM277-13.COI-5P,Solea solea,REMOVE,Nested in a cluster of Pegusa lascaris
GENBANK,1373661459,Gadus morhua,REMOVE,Nested in a cluster of Solea solea
GENBANK,1373661541,Xiphias gladius,REMOVE,Nested in a cluster of Solea solea
GENBANK,554791835,Centroscymnus owstonii,REMOVE,Nested in a cluster of C. coelolepis
GENBANK,592748153,Oxynotus paradoxus,REMOVE,Nested in a cluster of Oxynotus centrina
GENBANK,296747855,Galeus melastomus,REMOVE,Nested in a cluster of Squalus acanthias
BOLD,GMSHK268-12.COI-5P,Centrophorus granulosus,REMOVE,Nested in a cluster of Squalus acanthias
GENBANK,384369551,Lamna nasus,REMOVE,Nested in an unidentified cluster
GENBANK,384369559,Cetorhinus maximus,REMOVE,Nested in an unidentified cluster
GENBANK,384369555,Alopias vulpinus,REMOVE,Nested in an unidentified cluster
GENBANK,384369553,Isurus oxyrhinchus,REMOVE,Groups with Prionace glauca
GENBANK,384369547,Carcharodon carcharias,REMOVE,Nested in a cluster of Prionace glauca
GENBANK,237847770,Isurus oxyrhinchus,REMOVE,Bad quality sequence?
GENBANK,296747869,Galeus melastomus,REMOVE,Nested in a cluster of Scyliorhinus canicula
GENBANK,251821476,Squalus acanthias,REMOVE,Nested in a cluster of Scyliorhinus canicula
GENBANK,325556673,Scyliorhinus stellaris,REMOVE,Nested in a cluster of Scyliorhinus canicula
BOLD,BIM140-13.COI-5P,"Raja miraletus""",REMOVE,Nested in a cluster of Torpedo marmorata
BOLD,SFM021-13.COI-5P,"Raja undulata""",REMOVE,Nested in a cluster of Raja clavata
GENBANK,1485347586,Raja montagui,REMOVE,Nested in a cluster of Raja miraletus
GENBANK,1485347584,Raja montagui,REMOVE,Nested in a cluster of Raja miraletus
GENBANK,1485347588,Raja montagui,REMOVE,Nested in a cluster of Raja miraletus
GENBANK,347978586,Bathyraja spinicauda,REMOVE,Nested in a cluster of Amblyraja
BOLD,SCAFB786-07.COI-5P,Bathyraja spinicauda,REMOVE,Nested in a cluster of Amblyraja
GENBANK,429141121,Searsia koefoadi,REMOVE,Nested in a cluster of Holtbrynia
GENBANK,429141123,Searsia koefoadi,REMOVE,Nested in a cluster of Holtbrynia
BOLD,DSFSG763-11.COI-5P,Polyprion americanus,REMOVE,Nested in a cluster of Auxis
BOLD,UKFBJ733-08.COI-5P,Auxis thazard,REMOVE,Nested in a cluster of Katsuwonus
BOLD,GBGCA543-10.COI-5P,Engraulis encrasicolus,REMOVE,Nested in a cluster of Thunnus
GENBANK,307639816,Engraulis encrasicolus,REMOVE,Nested in a cluster of Thunnus
BOLD,NOFIS048-10.COI-5P,Schedophilus medusophagus,REMOVE,Nested in a cluster of Centrolophus niger
GENBANK,399765393,Mugil cephalus,REMOVE,Nested in a cluster of Chelon labrosus
GENBANK,399765389,Mugil cephalus,REMOVE,Nested in a cluster of Chelon labrosus
GENBANK,399765387,Mugil cephalus,REMOVE,Nested in a cluster of Chelon labrosus
GENBANK,399765395,Mugil cephalus,REMOVE,Nested in a cluster of Chelon labrosus
GENBANK,399765391,Mugil cephalus,REMOVE,Nested in a cluster of Chelon labrosus
GENBANK,399765381,Mugil cephalus,REMOVE,Nested in a cluster of Chelon labrosus
GENBANK,399765377,Mugil cephalus,REMOVE,Nested in a cluster of Chelon labrosus
GENBANK,399765379,Mugil cephalus,REMOVE,Nested in a cluster of Chelon labrosus
GENBANK,399765378,Mugil cephalus,REMOVE,Nested in a cluster of Chelon labrosus
GENBANK,1214737213,Mugil cephalus,REMOVE,Nested in a cluster of Liza ramada
GENBANK,1214737211,Mugil cephalus,REMOVE,Nested in a cluster of Liza ramada
GENBANK,1214737207,Mugil cephalus,REMOVE,Nested in a cluster of Liza ramada
GENBANK,1214737209,Mugil cephalus,REMOVE,Nested in a cluster of Liza ramada
GENBANK,332886573,Liza ramada,REMOVE,Nested in a cluster of Liza aurata
BOLD,BIM403-15.COI-5P,Hippocampus guttulatus,REMOVE,Nested in a cluster of H. hippocampus
BOLD,OCARH786-12.COI-5P,Tilapia zillii,REMOVE,Nested in a cluster of Oreochromis niloticus
GENBANK,822475866,Tilapia zillii,REMOVE,Nested in a cluster of Oreochromis niloticus
BOLD,GLF036-13.COI-5P,Scopelogadus beanii,REMOVE,Nested in a cluster of Sigmops bathyphilus
BOLD,UKFBI261-08.COI-5P,Pleuronectes platessa,REMOVE,"Bad sequence, long branch groups with Stomias"
GENBANK,1373661465,Solea solea,REMOVE,Nested in a cluster of Gadus morhua
GENBANK,786321816,Gaidropsarus mediterraneus,REMOVE,Nested in a cluster of G. macrophthalmus
GENBANK,392974018,Gaidropsarus mediterraneus,REMOVE,Nested in a cluster of G. macrophthalmus
GENBANK,668349057,Gaidropsarus mediterraneus,REMOVE,Nested in a cluster of G. macrophthalmus
GENBANK,668349061,Gaidropsarus mediterraneus,REMOVE,Nested in a cluster of G. macrophthalmus
GENBANK,668349059,Gaidropsarus mediterraneus,REMOVE,Nested in a cluster of G. macrophthalmus
BOLD,SCFAD248-09.COI-5P,Gaidropsarus vulgaris,REMOVE,Nested in a cluster of G. argentatus
BOLD,SCFAD339-09.COI-5P,Gaidropsarus vulgaris,REMOVE,Nested in a cluster of G. argentatus
BOLD,SCFAD340-09.COI-5P,Gaidropsarus vulgaris,REMOVE,Nested in a cluster of G. argentatus
BOLD,SCFAD283-09.COI-5P,Gaidropsarus vulgaris,REMOVE,Nested in a cluster of Enchylopus cimbrius
